title,author,length,release_date,views
【無厘頭實驗室！這些玩意真有這麼神？】20180409綜藝大熱門,我愛大熱門,44:20,1 天前,"117,833"
【MV大首播】張秀卿-沒我你沒娶(官方完整版MV) HD【三立八點檔『金家好媳婦』片尾曲】,豪記唱片 HCM Music,4:45,2 天前,"73,982"
【小編搞什麼】小編突襲大挑戰！淡妝的安編真的不差！】,搞什麼玩,10:48,3 天前,"90,663"
「超人回來了」Paul叔叔對威廉和本特利的愛溢出來了吧~,Korea Baby,1:14,2 天前,"31,538"
【尊】試著用1000度的刀子切開鋁球!?【危險請勿模仿】,人生肥宅x尊,4:54,5 天前,"1,268,801"
【精華版】李文一針見血 狠批孫安佐嚴重戀母情結,新聞挖挖哇！,12:26,1 天前,"52,050"
狄鶯救子在所不惜! 律師放鴿子真相? 認罪協商?精神不濟? 國民大會 20180410 (完整版),國民大會,47:57,1 天前,"103,917"
Baby 很急哦,爆料公社3.0,0:16,6 天前,"313,706"
破邪傳 - 九變妖媸自述遙遠過往,Arthur King,5:02,1 天前,"14,150"
【哇薩比抓馬】一夜暴富的後果有多可怕？《9號秘事：三個願望》Wasabi Drama,哇萨比抓马 WasabiDrama,5:31,2 天前,"114,314"
邦交國帛琉。你不知道的10大驚奇！【蔡阿嘎Life】,Life蔡阿嘎,3:04,5 天前,"208,447"
【千千進食中】韓國弘大 道地炸醬麵超大盤 中和佳庭중화가정 只有四人份?!,千千進食中,7:12,6 天前,"649,376"
孫安佐(狄鶯+孫鵬獨子): 美國媒體是如何報導? 與台灣媒體不同的地方? 文化差異? 重點不同? #小如 211集 #ABCmsRoo【無字幕】,ABC Ms Roo 小如,17:01,1 週前,"622,979"
为什么越穷越胖？《食品公司》,看电影了没,10:26,4 天前,"275,238"
今年最強潮流髮飾+髮型 吳依霖讓妳變仙女！女人我最大 20180410 (完整版),女人我最大,44:27,1 天前,"57,817"
【ENG SUB】《歌手2018》第12期 20180406：突圍賽！華晨宇挑戰《我》致敬張國榮 霍尊突圍放大招演繹成名曲 Singer 2018 Ep12【湖南衛視官方頻道】,湖南卫视芒果TV官方频道 China HunanTV Official Channel,1:45:36,6 天前,"1,152,784"
超人回來了 [一分鐘綜藝精華] 180408 叔叔們送給Ben一百天的禮物,Mix Korea,1:46,23 小時前,"29,704"
#706【谷阿莫】5分鐘看完2017殺人犯一直解釋的電影《第三次殺人》,主頻道【谷阿莫】,5:58,3 天前,"276,461"
HOW哥宇宙OP - 俺はみんなの日本語しか学ばないから | 翻唱 | VOCAL COVER,YBY on Mars,1:25,3 天前,"61,238"
一袋女王 官方正版 20180411    店員看到她們 笑嘻嘻...     敗家拍檔出擊 天下無敵!!,一袋女王,46:06,1 天前,"41,337"
MENCEKAM!! Inilah DETIK-DETIK Panggung LIDA Mendapat TEROR,Indosiar,13:47,1 天前,"470,711"
180412 TWICE Mini Fanmeeting @M Countdown,TWICE VIDEO,1:47,6 小時前,"21,858"
丈夫把子宫硬生生玩坏，妻子哭成泪人，再也不愿做玩偶！,热门视频榜,36:55,4 天前,"435,473"
"粉絲搶唱副歌大走音! 戴佩妮崩潰""掐大腿""硬唱完│中視新聞 20180409",中視新聞,2:04,3 天前,"112,872"
謝和弦 R-chord –  我想要到老的時候 (Official Lyric Video）,R-chord謝和弦,2:47,1 天前,"30,947"
王彩樺驚爆「老公偷吃女員工」婚姻亮紅燈！？她親口揭「女方來頭不小」冷喊：我有什麼辦法.....,心靈小品,2:41,2 天前,"85,749"
出國被當地人差別待遇？穿著打扮要注意！穿紅衣到泰國玩，竟差點回不來？！ 2分之一強 20180409 一刀未剪版 EP858 夢多 馬丁 – 東森綜合台,東森超視,45:25,2 天前,"63,846"
【黃阿瑪的後宮生活】後宮集體出門！,黃阿瑪的後宮生活,11:32,6 天前,"707,602"
《一日系列第五十九集》傳奇故事再現！邰智源、溫妮、泱泱即將成為烘焙王？！- 一日麵包師傅,木曜4超玩,45:28,6 天前,"519,069"
"孫安佐擁1600發子彈 李昌鈺懷疑""遭人寄放""│中視新聞 20180403",中視新聞,2:19,1 週前,"351,969"
玩笑話闖禍!? 狄鶯獨子在美被捕 父母管教是愛?還是礙? 國民大會 20180402 (完整版),國民大會,48:21,1 週前,"346,261"
金家好媳婦第62集預告搶先看~今晚彥鈞吃藥昏迷在車內芷琳終於向彥鈞承認自己身份篇,陳衍璋,0:32,6 天前,"95,625"
曾被狄鶯呼巴掌6年後謝麗金竟為孫安佐做這件事 媽媽有暴力傾向又愛耍大牌難怪兒子會出事-基因問題!,Dulan9,1:34,6 天前,"238,212"
"升級為聯邦犯罪.搜尋""共犯""…孫安佐""玩笑話""美警稱為""大災難"" 姚立明點2大不利點｜廖筱君主持｜【新台灣加油PART1】20180403｜三立新聞台",新台灣加油,52:48,1 週前,"131,041"
好大的熊膽！熊讚躲牆角嚇市長 柯P反應超好笑...,自由時報電子報,1:35,6 天前,"316,523"
【LNG官方精華】 ㄅ年行大運,LNG 精華頻道,28:43,1 週前,"251,623"
賽斯羅根檢視新片在世界各國的片名翻譯，認為台灣的翻譯最神 (中文字幕),B.C.&Lowy,2:23,6 天前,"212,290"
【愚人節】我其實沒有妹妹。,阿滴英文,4:19,1 週前,"2,245,816"
這下慘了! 孫安佐真的有槍? Home媽接通知急藏槍彈 狄鶯.孫鵬見子穿囚衣 哭慘了 │記者 楊成霆 張弦 │【台灣要聞。先知道】20180403│三立iNEWS,三立iNEWS,2:26,1 週前,"378,313"
食尚玩嘎#31：帛琉GO！蔡阿嘎出發鞏固邦交國！Palau,蔡阿嘎,5:09,6 天前,"720,546"
《完整版》 孫安佐組裝手槍、購1600發子彈 8個月打造「恐佈威脅」軍火庫？,EBC LIVE,37:28,直播時間：1 週前,"143,714"
曾暴打藍潔瑛，如今兒子剛被捕姐姐又曝醜聞，網友：報應來了 !,China Hours,5:48,1 週前,"154,819"
日本繪師傳授「如何吹出響亮的指哨」！其他網友一試大驚：成功了！,人生勝利組Life victory group,2:21,1 週前,"752,421"
5個必贏的兒時遊戲密技,腦補給,3:48,1 週前,"826,112"
6根爪子海螺臺?!  到底要怎麼夾?! 【小展子夾娃娃】 6爪 小海螺台湾 UFOキャッチャー  taiwan UFO catcher claw machine,小展子ChanTzu,10:15,1 週前,"244,961"
金家好媳婦 第62集 100% Wife EP62【全】,三立台劇,1:47:16,5 天前,"755,662"
崔佩儀兒錯在哪？狄玫怒討道歉　許常德冷嗆：惡人先告狀,Edward Pecci,2:51,1 週前,"115,616"
媽媽暴打藍潔瑛，爸爸攻擊警察，如今狄鶯兒子被抓遭網友怒嗆「現世報」,錫齒,3:28,1 週前,"193,335"
"孫安佐記者會突然""喊卡"" 律師稱""不可預見情況""疑是國安局在孫""筆電""中發現新事證？｜呂惠敏主持｜【驚爆新聞線焦點】20180407｜三立新聞台",驚爆新聞線,11:08,5 天前,"97,835"
"擅恐怖威脅! 狄鶯.孫鵬聘""五星律師""聯手救獨子",年代新聞CH50,4:29,1 週前,"116,969"
华晨宇《平凡之路》 -单曲纯享《歌手2018》第11期 Singer 2018【歌手官方频道】,歌手官方音乐频道 SINGER,6:52,1 週前,"1,480,992"
鄧福如 前面路口停 feat.小宇 ｜cover by 展榮魚乾 feat. 口一口,Keelong and Rays這群人 展榮展瑞,3:52,1 週前,"282,307"
我的男孩第16集預告,snsdexo love,0:29,6 天前,"130,459"
《我的名字。》HD高畫質中文官方預告,上班不要看 NSFW,0:32,1 週前,"251,315"
滾雪球!孫安佐搜出槍.彈李昌鈺:問題嚴重了,台視新聞TTV NEWS,3:33,1 週前,"449,450"
